生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
雷電霹靂	雷霆, 形, 神, 龍車, 石斧, 鬼鼓, 火鞭, 怪誕, 雷斧, 氣, 雷, 細黃石, 震, 氣鬱, 怒, 奮擊, 三際, 暖際, 熱際, 冷際, 濕氣, 火行, 雲, 陰雲, 破裂之聲, 火光, 霹靂之楔, 電, 陰氣, 陽氣, 迅雷, 大電, 金線, 火氣, 摩盪, 電光, 燥火之氣, 鑽雷, 洴雷, 燒雷, 陰陽鬱怒之氣, 焰硝氣, 龍蛇蟠屈, 蛟龍, 純陽, 火性, 銃砲, 火藥, 焦爛, 符篆, 陰陽擊搏之氣, 神物, 雷神, 雷公, 震肉, 霹靂震物, 震, 蜈蚣, 地氣, 土氣, 乖龍, 小龍, 大龍, 天雨, 蝍蛆, 龍腥, 雷雨, 龍, 雷公, 乖龍, 霹靂, 豕, 鳥, 猴, 雷州, 雷子, 蛟蜃, 蛟筍, 爪甲, 天龍, 蜣蜋, 陽精, 蛇螄精, 雞形人手, 雷楔, 銅, 石, 純陽氣, 連鼓形, 凶惡淫盜, 鐵索, 火塊, 炎塊, 謝仙火, 雷書, 雷部中神, 天火, 電部中鬼, 雷擊之鬼, 蚯蚓, 天醫, 金石, 漆器, 寶刀, 正廻之魚佩, 飛魚, 羭次之羽, 半石之草, 雷墨, 雷丸, 雷珠, 雷石, 陽物, 左旋, 畏雷, 驚雷, 白䓘, 血玉, 嘉榮之草, 人蔘, 當歸, 麥門冬, 五味子, 水, 鷹鷂聲, 蜥蜴, 蛙黽, 白龍, 自江, 冬雷, 水旱豐歉, 劈木, 辟火災, 辟陰邪, 棗木, 楓天棗地, 楓棗, 楓木, 棗心, 中皇制使虎豹法, 羨門式法, 辟邪, 海島霹靂木, 天罡印, 上元法印, 震牛皮鞔鼓, 牛皮, 震馬皮, 震物致富, 藥, 長者, 孕者, 愈病, 病人, 耗氣, 震肉, 回旋, 象形, 雲雷之象, 鬼神伐鼓之象, 雲氣之形, 根荄, 蟄蟲, 花實, 盛陽之德, 除害, 興利, 人君之象, 無雷之國, 恒雷之地, 物理之書, 類聚之編	康熙甲辰六月, 順治甲午夏, 唐代, 雄略天皇時, 成化間, 淸, 萬曆戊戌六月, 歲乙巳暮春, 宋, 宋, 新羅文武王二年, 我宣祖三十三年乙巳, 皇明毅宗崇禎十六年癸未六月十三日夜, 麗末, 廢王禑二年丙辰	錢塘烏山, 廉州府學, 州西, 東郡, 孝感縣, 丹徒縣, 郃陽, 玉門西南, 眞州, 天寧寺, 揚州, 南唐, 常山, 凌雲寺, 楊州, 京城南村鑄字洞筆衕, 南村, 震南山, 湖湘, 岳州, 岳陽樓, 永州, 岳州, 秀州華亭縣, 漢東, 姑蘇, 江西村, 雲南府, 慶州府, 竹山府, 汴	致堂胡氏, 蔡季通, 眞氏, 熊三拔, 方中履, 張太岳, 章成, 狄仁傑, 葉遷招, 柴再思, 廷柱, 馬生爾騏, 李肇, 楊道和, 趙陀, 伊奘諾尊, 李定, 石藏用, 王興, 聖祖, 紀曉嵐昀, 王始興, 茅元儀, 陸昭符, 方以智, 李生, 五洲, 禹, 申淸安, 曹參將, 張天師, 曹弁, 王得臣, 滕宗諒, 何仙姑, 玉眞觀, 如冬, 陳括, 袁枚, 王士禎, 李舜擧, 王符, 陸佃, 李時珍, 鄭發, 光明雷王, 阿揭多, 阿伽多, 阿羝嚕, 刹帝嚕, 主多光, 須陀光, 蘇多末尼, 陳眉公, 王象晉, 王睽, 朴氏, 周亮工, 夏振叔, 夫子, 太公	古今釋疑, 和漢三才圖會, 易, 本草, 北夢瑣語, 述異記, 嶺南雜記, 果報聞見錄, 法華經, 物理小識, 五雜組, 日本紀, 翰院叢記, 訒庵偶筆, 樗鄕集, 陝西通志, 熙朝新語, 易, 槐西雜誌, 論衡, 野航史話, 五洲博物辨證, 西皐外集, 夢溪筆談, 麈史, 筆談, 五雜組, 三國史, 博學彙書, 圖繪寶鑑續纂, 新齊諧, 譚子化書, 稽神錄, 池北偶談, 篔窓筆記, 夢溪筆談, 本草綱目, 筆苑雜記, 篔窓筆記, 說郛, 玉樞經, 群碎錄, 珍珠船, 群芳譜, 圖書編, 天文書, 農政全書, 授時通考, 群芳譜, 農桑雜訣, 靈棋經, 唐六典, 術書, 本草, 高麗史, 因樹屋書影, 種樹書, 風俗通, 養生書, 客中閑集, 夢溪筆談, 漢書, 書, 語, 風雨賦	O_01_03_08.ann
蓄音機	留聲機			衣底順		I_01_22_12.ann
烽火	諸侯, 擧烽	新羅	我國	幽王	史記	I_01_11_22.ann
旅館	客棧, 國野, 廬, 飮食, 料理店, 宿, 路室, 候館, 驛館, 料理	十七世紀	我東, 新羅, 小亞細亞, 里地亞, 歐洲	炤智王	周禮	I_01_20_10.ann
風水	相地術, 巫祝, 卜筮, 相術, 未開, 愚民, 迷信, 文化, 進步, 廢棄, 無用	漢末				I_01_25_06.ann
商業會議所	蘇格蘭人	一七八六年	美國, 意珍巴玖府, 歐洲			I_01_15_09.ann
黨長里長	武斷, 鄕曲, 養戶, 守宰, 官吏, 長上, 豪橫, 齊民, 逃役, 免賦, 朝廷, 蔭附, 官役, 豪强, 徵歛, 公賦, 隷屬, 奴婢, 國弱, 民貧, 平民, 三長, 戶籍, 古法, 隣長, 里長, 黨長, 强謹, 統率, 分數	元魏太和九年	南州, 我邦, 魏	李冲	綱目	S_07_01_73.ann
門生	門人, 配享, 文廟, 孟門, 平人, 門生錄, 啓發, 進益, 風吹草動, 君子之徒, 成德, 達才, 一科, 私淑			孔子, 公伯僚, 公孫龍, 丑, 章, 退溪		S_07_01_49.ann
堰埭	蜀郡太守, 堰, 田, 堤埭, 漲溢, 隄防		秦, 埃及, 尼羅河	李氷, 希臘多他斯	史	I_01_02_09.ann
新世界	地球上, 第一大島, 葡萄牙人, 南洋, 屬島, 荷蘭人, 本島, 五大洲, 六大洲	西曆 一四九二年, 西曆 一五二一年, 一六零五年	亞美利加, 墺斯亞, 義大利, 濠太利, 歐羅巴, 馬利亞拉諸島, 新荷蘭, 英國	可侖布, 馬斯蘭		I_01_02_03.ann
朝賀	合宮, 聽政, 朝會, 諸侯, 歲一, 朝覲, 長樂宮, 群臣, 朝賀儀, 正月朔, 百官, 賀正之禮, 春正月, 南堂, 聽事, 冕服, 受朝	唐虞, 漢 高帝 七年, 眞德王 五年, 古爾王 卄二年卄七年, 聖武天皇 四年	新羅, 百濟, 日本	黃帝	管子, 通典	I_01_08_01.ann
科薦	科試, 進用, 國制, 生員, 進士, 入仕, 致仕, 內職, 吏曹, 注望, 外職, 武科, 先蔭, 薦聞, 流品, 文科, 隴畒, 民役, 士子, 行政, 治民, 掊克, 式年, 朝廷, 六曹, 京兆, 兩都留守, 八道監司, 主上, 政府官, 文學, 德行, 經席, 館錄, 庶政, 閥閱, 入選, 罪廢, 武科, 國家, 重試		西北			S_07_01_01.ann
地球儀	哲學者	西紀元前 六世紀頃	希臘	亞拉克斯曼		I_01_05_13.ann
投票法	市中, 投票箱, 妨害, 治安, 投入, 投票, 大統領, 選擧, 最多數, 摠領, 次數, 副摠領	紀元前 五百九年, 千七百九十七年	雅典, 合衆國	克力斯敦, 阿但斯約翰, 遮非森		I_01_10_06.ann
邶	國名					D_15_01_04.ann
褥	紫羅文褥, 氈, 春官, 氈案	周		穆王	拾遺記, 周禮	I_01_23_15.ann
煖爐	宮人, 鑪炭, 火鑪, 冬月, 薰籠, 溫氣, 火鉢, 煖室, 導管, 溫煖		西洋, 德, 希臘, 羅馬		天官	I_01_20_09.ann
重陽菊花糕	九月 九日, 重陽佳節, 菊花, 煎糕, 菊花煎, 重陽日, 糕酒, 登高, 秋志, 茱萸, 甘菊, 酒盃, 宮人, 茱萸, 蓬餌, 菊花酒, 長壽	漢代	支那, 西京雜記, 日本	漢 武帝, 賈佩蘭	齊民月令	I_01_28_21.ann
樣曆寓錢	樣曆, 依樣頒曆, 寓錢, 寄形紙上, 正朔, 錢幣, 帲蒙, 方輿, 天經地義大一統之典常, 萬古不忒之正理, 蒙古雜奇, 節氣, 晝夜, 時刻, 雲館, 頒曆, 皇曆, 觀象監, 十四萬曆, 月曆, 私曆, 鑱紙, 錢, 鬼神, 玉幣, 紙錢	成化, 冬至, 唐, 唐玄宗時	江陰, 我朝, 西北, 山, 陝, 河南, 東南, 江, 浙, 湖, 閩, 兩京, 京師, 淸, 龍灣, 八道, 京城	湯沐, 唐臨, 高士奇, 王璵, 玄宗, 全愚蔣子正, 邵堯夫	公餘日錄, 大統曆, 時憲書, 冥報錄, 天祿識餘, 山房隨筆	O_01_05_05.ann
黛的	畵眉, 丹砂, 月事, 宮中, 姬妾					I_01_18_25.ann
猶太敎	小國, 卒業, 律法, 創定, 一神, 專奉, 祖, 舊敎	西 紀元前 一千四百年頃	猶太, 西亞細, 埃及, 歐美	摩西		I_01_07_15.ann
泳氣鐘	航海者, 海底, 空氣	一五三八年, 一六八二年	德, 希臘, 美, 英	鬱理斯 五世, 維廉非立, 哈利		I_01_22_31.ann
凌辱縣令	致敬, 府門, 盡禮, 守宰, 民人, 社禝, 侯國, 父母, 凌辱, 縣屬, 綱常之律, 祖宗, 風動之治, 京獄, 天子, 匹夫, 太守, 壯士, 朝廷, 謀逆, 孝悌, 好犯上, 好作亂	成宗五年	昌平縣, 光州, 南郡	張湛, 姜九淵, 全順道, 子	詩	S_07_01_79.ann
天眼鏡	巨大, 雙眼, 望遠, 大鏡	十八世紀末		底倫哈化		I_01_22_35.ann
學阮				東峯		D_11_01_01.ann
―琴	阮			―咸		D_11_01_01.ann
電氣	琥珀, 摩擦, 物體, 引力, 醫師, 일렉츄릭틔, 發電體, 電氣機, 二種說, 一種, 作用, 積極, 消極, 雷電, 磁氣	西 一千六百年, 同 六十年, 一千八百二十年	希臘, 英國, 德國, 法國, 美國, 丹麥國	地利斯, 基耳拔, 基列其, 超肥, 夫을蘭克連夫蘭克連, 衣耳士鉄		I_01_05_06.ann
馬夜眼	馬, 夜亦能行者, 夜眼, 目光所照三丈, 馬夜眼在足膝上, 在馬脚膝上, 自外看 則如瘡痂成甲				物理小識, 本草綱目, 博物志	O_19_02_04.ann
婦棄夫	婦人, 父母, 官府, 夫婦之義, 官司, 不才, 不能, 大義, 曲折, 餓死, 失節, 孤孀, 貧窮, 改適, 嚴斷, 禁抑		建陽	道深, 朱子, 程子	朱子語類	S_07_01_21.ann
火輪犂	水車, 火輪力, 墾土機械, 馬車, 二犂, 播種機, 刈麥, 刈草, 打麥, 打稻, 禾稈, 運搬, 灌漑	一八五五年, 淳和皇 六年, 高麗, 宣祖	合衆國, 日本, 魏, 我國, 支那	馬均, 楊萬世		I_01_16_08.ann
耳環	男一, 女二		羅馬, 希臘			I_01_18_20.ann
御馬	鳴和鸞, 逐水曲, 舞交衢, 過君表, 六藝, 乘馬之法, 欲馳則俯身, 欲止則直坐, 欲左則偏跛左足, 欲右則偏跛右足, 釘蹄, 無異訓人, 驅馳有範, 乘馬無牽夫, 必牽拘制, 動値銜橛, 馴御之法, 北人善御	自周末始盛, 高句麗大武王庚辰, 高麗時, 武帝時	中國, 北狄, 西戎, 我東, 北貉, 三韓, 扶餘國, 穢貊, 穢國, 濟州, 于闐國, 甘州, 日本, 中原, 我東, 冀州, 北關六鎭	王良, 造父, 李巡, 帝堯, 蚩尤, 應劭, 申翊聖, 箕子, 元世祖, 尹文肅瓘, 林忠愍慶業, 李牧, 張匡業, 顧璘, 孫蕡, 蕭大亨, 杜篤	詩, 爾雅·釋畜, 易, 世本, 竹書, 荀子, 玉篇, 廣博物志, 漢書·高祖本記, 山海經·海內西經, 後漢·東夷傳, 東史補編, 古今注, 唐書·李賀傳, 集韻, 馬經, 五代史, 黑韃遺事, 張司徒山國歌, 雲南樂, 元虞集, 譯語類解, 黑韃遺事, 內經, 冀越集, 物理小識, 夷俗記, 幽草軒集, 論都賦, 方言, 正字通, 通雅	O_19_02_05.ann
交食	日食, 晦日食, 二日食, 平朔, 定朔, 月質, 以日映爲光, 合朔, 月質掩日, 地球之影, 隔日, 根數, 交周, 分時, 黃緯, 日, 月, 黃道, 兩環, 相交, 相交處, 陽曆口, 羅㬋, 龍頭, 陰曆口, 計都, 龍尾, 水道, 陸道, 羅計, 橋, 日行歲差, 地運, 望, 月食, 月行九道, 往來消息之機, 陰陽之義	夏仲康五年, 周幽王六年, 漢惠帝七年五月		陸文裕, 張衡, 史伯璿, 宋濂	詩, 書, 春秋, 穀梁, 公羊, 左氏, 經世紀數原本	O_01_04_03.ann
鵝鴨	鵝, 家鵝, 野鵝, 花鵝, 鴨, 舒鴈, 鶂鶂, 呷呷, 有翼而不能飛, 行其遲鈍, 喜水溝濕窪之地, 不食蟲, 養鵝一雙 鬼魅不敢入, 東方陽氣, 見人善作靑白眼, 見生面可疑人 則必逐喙之, 如犬警吠, 爲衣被絮, 毳毛如絮, 膽爲幻彩, 其血愈噎, 鵝血可療, 參禪, 能啖蛇及蚓, 能辟蟲虺, 鴨血, 諸禽無莖 鵝鴨獨有之, 三雌一雄, 貪伏不起, 數起, 塡嗉, 惟食五穀, 不食生蟲, 六雌一雄, 解其火毒, 日用恒饌, 家家畜養, 素非常食, 千戶僅一畜, 於陵之蛙, 右軍之換, 鵝黃, 鴨綠, 於陵仲子, 鬪鴨, 高麗之鴨, 新羅鵝	晉, 後周, 嵯峨天皇弘仁十一年五月甲辰, 唐憲宗元和十五年庚子, 新羅獻德王十二年	邕州, 臨邑, 武昌獻花寺, 靖州觀音寺, 江南, 中原, 關西義州府, 鴨綠江, 杭州, 高麗, 日本	柳子厚, 方中德, 黃居中, 方中通, 王暄, 王右軍羲之, 楊愼, 靜帝, 李白, 田汝成, 滕昌祐, 王弇州世貞, 李長行	禽經, 本草綱目, 雜五行書, 物理小識, 積驗錄, 嶺南異物志, 酉陽雜俎, 古今祕苑, 香祖筆記, 池北偶談, 神隱, 必用, 孟子, 黃庭經, 丹鉛總錄, 襄陽歌, 委巷叢談, 羲之觀鵝圖, 高麗鬪鴨圖, 牡丹睡鵝, 茴香睡鵝, 拒霜花鵝, 王氏畫苑, 古名畫帖記	O_19_01_04.ann
忌日待賓	羔裘, 玄冠, 聖人, 主人, 吉服, 酒肉, 素饌, 方伯, 主客, 下士, 公卿, 齒德, 蔬食, 祭祀, 食物, 梁肉, 酒醴, 小祥, 大祥, 正祭, 美味, 孝子, 尊客, 忌日, 終身之喪, 黲紗幞頭, 黲布衫, 布褁角帶, 黲紗衫, 淡黃帔, 黲布, 素服, 素帶, 禫服, 同饌, 安東府伯, 獐鰒, 追還, 三年之喪			孔子, 伊川, 周恭叔, 退溪, 朱子	喪大記, 家禮	S_07_01_67.ann
賤人	國法, 奴, 赴試, 奇才, 友善, 唱酬, 學行, 湮滅		日本	白大鵬, 劉希慶, 許學士筬, 李鎰, 柳夢寅, 徐起, 朴仁壽, 權千同, 許億健		S_07_01_46.ann
多神敎	崇拜, 古代, 十二天神		希臘, 羅馬			I_01_07_11.ann
後悔	驄馬, 僞悔, 發歧慚悔, 太宗深悔, 無窮之悔, 一朝之忿		遼東	甄萱, 太祖, 趙浚, 唐太宗, 魏徵	金震陽論趙浚書, 句史, 警民編	D_15_01_15.ann
風憲之職	儆肅, 百僚, 霜臺, 栢林, 淸, 立秋, 熒惑, 嚴, 鷹鷙之諭, 豸冠之服, 威, 白簡, 丞相, 昌言, 人主, 奸雄, 巨猾, 挫抑, 挾私, 逞忿, 遠圖, 大臣, 臺官, 覈奏					S_07_01_58.ann
謫中自挽		燕山朝	眞安縣	洪寓庵彥忠, 李荇	本集, 本	D_11_01_11.ann
蛇尾欲挽				冲庵	十一箴	D_11_01_11.ann
一推一輓				夷齊	東峯書	D_11_01_11.ann
鴈挽						D_11_01_11.ann
挽	引, 輓					D_11_01_11.ann
心亂						D_15_01_24.ann
頭髮	編髮, 蒙古의 制, 辮髮薙額, 淸人, 復古, 長埀, 斷髮, 奴隸, 排斥, 腦後, 短埀, 婦人, 高髺	三韓, 十七世紀의 末	我東, 高麗, 泰西, 希臘, 羅馬	檀君, 忠烈王, 恭愍王		I_01_03_12.ann
巡狩				黃帝	太一密推	I_01_08_06.ann
步天歌	天度星次, 推步蓋天法	唐時, 淸		隋王羲明, 丹元子, 羲明, 希明, 張自烈, 趙君卿, 庖羲氏, 周公, 大夫商高, 趙嬰, 甄鸞, 李淳風, 丹元子, 王希明, 南懷仁, 利西泰, 王應電, 子長氏	步天歌, 太乙金鏡式, 正字通注, 周髀算經, 注, 唐志, 周髀, 星圖, 儀象志, 星圖, 經天該, 藝海珠塵, 天王會通, 儀象志, 祥異賦, 諾皐通驗, 天官	O_01_01_12.ann
鉛板澆法	美國人, 鉛板, 機器, 分裝, 印刷, 火輪機械, 印書, 印字, 裁幅, 摺疊, 裝釘, 便捷	一八四四年				I_01_04_18.ann
石板 印刷法	日耳曼人	西紀 一七九六年				I_01_04_18.ann
印書機	印刷術, 印刷, 機械, 書價, 巴里 醫學會, 証書, 銀器, 抵當, 華族, 擔保, 印書機架	西 一四七一年, 一八 四年	英國, 法, 美國	加古斯頓, 路易 十一世, 高判	土來史	I_01_04_18.ann
箜篌	亡國之音, 空侯, 瑟, 公無渡河之曲		晋, 鄭, 衛, 朝鮮	師延, 霍里子高, 麗玉	樂府	I_01_21_22.ann
果下細牛	犤牛, 牛之小者, 高一尺七寸, 長二尺有奇, 白質斑文, 項有肉峯	康熙丁未夏	荷蘭國	余金, 甲婁吧王	虞衡志, 王會圖, 熙朝新語, 安南國志	O_19_02_11.ann
果下馬	細馬, 少步馬, 種小能步, 百步千蹄者, 高三尺, 行於果樹下, 土産小駟也, 以乘婦女, 日行千里	漢武時, 唐高祖武德四年, 百濟武王二十二年辛巳十月	烏秅國, 濊國, 江陵府	少陵, 孟康, 師古, 武王, 范成大	西域志, 桂海虞衡志	O_19_02_11.ann
歲上龍集	末年月, 龍集, 龍飛, 星舍, 歲舍, 龍見而雩, 東方七宿, 蒼龍, 蛇乘龍, 歲星木精, 木, 歲星, 靑龍, 貴神, 太歲, 大梁, 戊辰, 丙申, 大火, 攝提之歲, 甲寅, 東宮, 寅德, 東方		魏文昌殿	王莽, 吳斗南	癸辛雜識, 左傳, 淮南子, 銅權銘, 鍾簴銘, 張純傳, 兩漢刊誤補遺	O_01_05_20.ann
鸛	異於凡鳥者, 靈異, 長水石, 解絙禁蛇, 知雨巫步	皇明時, 永樂初	濟南	王漁洋士禛	池北偶談, 五雜組	O_19_01_15.ann
書籍舘	書籍, 藏書處, 石室, 秦人, 修書院, 諸生, 抄寫, 儲藏, 書籍院, 經籍, 購入, 遣使, 元主, 宋朝 秘閣, 所藏	夏禹, 成宗 九年, 忠肅王 元年	東洋, 宛委山, 荊州 小酉山, 高麗, 西京, 我國, 支那, 江南, 元, 埃及國, 甸希斯, 希臘國, 羅馬	黃帝, 柳衍, 柯山底亞, 皮斯時脫拉他斯, 亞斯尼亞와 皮利柯亞斯尼亞皮利柯		I_01_04_25.ann
五緯	七政, 日、月、五星, 太極, 三辰, 五星, 元氣, 三統, 五行, 五星, 合璧, 連珠, 恒星, 黃道, 金星, 月輪, 土星, 雞卵, 木星, 二十八宿, 日輪, 黑點, 星體, 大輪, 小輪, 七政曆, 歲甲寅, 月甲子, 日甲子, 時甲子, 九重, 月天, 水星天, 金星天, 日天, 火星天, 木星天, 土星天, 恒星天, 宗動天, 星數			劉歆, 邵子, 甘公, 石公, 張子, 程子, 顓頊, 方以智, 暄, 方中通, 羅雅谷	虞書, 五緯表, 五緯曆指, 七政細草, 大統七政曆, 時憲七政曆, 七政外編, 內編, 七政萬年書	O_01_02_13.ann
雉	華蟲, 山雞, 雉有十四種, 盧諸雉, 鷮雉, 卜雉, 鷩雉, 秩秩海雉, 翟山雉, 翰雉, 卓雉, 翬, 搖, 甾, 稀, 蹲, 産金雉, 膏雉, 雉善聽 故野雉知雷起處, 雉屬陰, 先鳴而後鼓翼, 十月雉入大水爲蜃, 雉性不慧, 飛禽中雉最難馴, 以雉爲藥者治痰癖, 以尾羽占晴起風之法, 燒三雉羽, 焚雉羽可以致風		伊洛而南, 江淮而南, 秦中會寧縣	漢高帝呂, 宋犖, 陳眉公	說文, 筠廊偶筆, 埤雅, 祕笈, 月令, 簪雲樓雜說, 本草綱目, 和漢三才圖會, 五洲書種, 經驗方, 理學類編, 墨子, 淮南子	O_19_01_12.ann
雞	司晨之功, 孶孶爲善之端, 翰音, 蜀, 僆, 鶤, 奮, 雄雞, 公雞, 牝雞, 騲雞, 雛雞, 筍雞, 花雞, 鑽籬菜, 治蠱法, 陰陽雞, 小雞法, 鐓雞法, 父公臺, 雞黃病, 鳳凰衣, 綠雞法, 使雞隨人法, 鳩首雞, 丑雞, 初塒, 二塒, 三塒, 四塒, 五塒, 促雞, 雞塒, 荒雞, 雞有五德, 頭冠爲文, 足距爲武, 逢雄則鬪爲勇, 鳴而不失時爲信, 有食相呼共啄爲義, 妖雞, 土坎養雞法, 英雞法, 黃雞, 烏雞, 牡雞, 鬪雞, 鬪雞之法, 芥雞之說, 木雞之喩, 鬪雞詩, 啄, 寒雞, 竹雞, 雉雞, 唐雞, 鳳雞, 烏骨雞, 知時, 松雞, 外國雞, 血能辟邪, 公雞, 筍雞, 軟雞, 花雞, 久壽雞, 哈八雞, 花岳雞, 蓬頭, 犻家首雞, 雞鴠, 雞卵, 躧, 雞毈卵, 烏雞卵, 雞子, 父公坮	萬曆庚寅, 周末, 漢, 魏, 高麗, 崇禎	燕京, 長洲縣, 南蠻, 中國, 淮南, 馬韓, 朝鮮, 樂浪, 公州, 雞龍山, 白放山, 洌水, 阿蘭陀, 肥州, 長崎, 萬安郡	少夫, 王山長, 李瀷, 沈括, 李廷飛, 馬益卿, 甚好, 周宣王, 孫思邈, 孟詵, 陳鴻, 玄宗, 孫穆, 陶弘景, 揚雄	易, 曲禮, 爾正, 譯語類解, 太淸外術, 述異記, 物理小識, 王太岳集, 枕雞房狗辨證說, 惜騸畜辨證說, 耳目口心書, 本草綱目, 父公臺鳳凰臺辨證說, 月令, 物理小識, 和漢三才圖會, 五洲書種, 鰲頭通書, 僿說, 感應類從志, 蘇沈良方, 說文, 書, 積驗錄, 白澤, 稗史, 易妖, 雜五行書, 眞誥, 雜五行書, 風俗通, 康熙字典, 正字通, 群芳譜, 千金方, 經驗方, 淮南萬畢術, 博物志, 物類相感志, 古今祕苑, 神隱, 入燕記, 春秋左氏傳, 國語, 莊子, 東城老人傳, 太平廣記, 雞林類事, 魏志, 三韓辨證說, 漢書, 漢書·郊祀志, 史記·龜筴傳, 揚子方言, 嬴涯勝覽, 蘇談》, 小人國辨證說, 坤輿外紀, 明史, 日下舊聞, 鳳凰辨證說, 冷齋夜話, 同文, 嶁嶁神書, 酉陽雜俎	O_19_01_01.ann
車	車輪, 駕牛, 車正, 鹿車, 羊車, 象車, 人車, 輿輦, 藍輿, 筍輿, 箯輿, 大輅, 四輪車, 脚踏車, 自轉車, 人力車, 輿, 帷蓋, 靑蓋車, 車制, 眞骨, 沈香, 紫檀, 玳瑁, 金, 玉, 幰, 錦, 馬車, 道路	少昊, 夏禹, 漢, 魏, 一千八百十八年, 明治 三年, 六七世紀, 一八二五年	德國, 東洋, 日本, 新羅, 西洋, 英國, 蘇格蘭	黃帝, 奚仲, 夏桀, 殷湯, 王莽, 安多禮斯, 高山幸助, 應神天皇, 崇神天皇, 射狹, 雄略天皇, 馬加担	古史考, 史記 張耳傳, 漢書	I_01_22_03.ann
地形成字	天之有文, 星辰, 地之有理, 山川, 字形, 字象, 天上有字, 前史, 稗官, 字形之文, 赤字, 災祥, 地形, 五嶽眞形, 文公, 山形, 公字, 山字, 公山, 完字, 山字, 完山, 功字, 飛空之術	治乙未冬夜, 宋末	淸, 沂莒, 文山, 福建延平府尤溪縣西北五里, 高原嶺, 北門坑, 玉溪, 公山, 我東, 湖西公州府, 湖南, 全州府, 湖西淸州府	王士禎, 黃帝, 義齋鄭氏, 朱松, 朱子	池北偶談, 五嶽眞形圖, 地誌	O_02_01_01.ann
天	淸氣, 濁氣, 游神, 五色, 性, 混沌, 太始, 太極, 天地, 太易, 兩儀, 陰陽, 泰素, 三才, 萬物, 無極, 百千萬億箇天, 六合, 聖人, 四維, 無實形, 地上空虛處, 一元, 十二會, 一萬八百年, 子會, 丑會, 寅會, 戌會, 亥會, 子會, 循環無窮, 午會, 甲辰, 陽氣, 陰氣, 四表, 地去天之數, 天地相去, 搏扶搖, 天文, 七曜, 三垣, 二十八宿, 日, 月, 日輪, 月較, 日道, 月道, 五星, 五府, 天市, 太微, 紫微, 四方, 天有九層, 星行天, 日行天, 月行, 天河, 天漢, 天下河漢之源, 星	唐堯, 明萬曆		老子, 王世貞, 弇州, 周子, 朱子, 莊子, 釋氏, 張湛, 邵子, 馮寶寶	說郛, 太極圖說, 稗史, 列子, 史記, 續博物志, 曆象集, 莊子, 吾學編, 天形圖, 天文類抄	J_01_01_01.ann
八邈調	邈邈調, 八八調, 時樂, 黃鍾, 八調, 大呂, 大簇, 邈調, 半聲, 淸聲, 淸角, 淸徵, 淸商, 商歌, 側調, 不節			師曠	文選	S_07_01_94.ann
燒髮	正月, 寅日, 白髮, 唐俗, 黃昏, 門前, 十六日	唐	我國	孫思邈	千金方	I_01_28_03.ann
几	几銘			黃帝		I_01_23_23.ann
胡桃	羌桃, 得來		印度	張騫		I_01_26_03.ann
墨	墨汁, 竹挺, 点漆, 畵書, 磨汁, 延安石液, 墨丸, 漆烟, 松煤, 凹心硯, 磨墨, 貯瀋, 螺子墨, 隃糜墨, 造墨, 製紙, 傳來, 紙墨, 石脂水, 松烟, 石墨, 隃糜, 松煙, 木炭, 樹脂煤, 黑膠水, 活版, 印刷, 化學, 進步, 改良	魏晋, 晋, 推古皇, 宋, 晋魏, 漢, 希臘羅馬之代, 西曆 十五世紀之半	日本, 高句麗, 我國, 延安 高奴縣, 扶風, 終南終南山, 西洋, 荷蘭	刑奚邢夷, 晁氏, 羅速拉斯	墨經	I_01_04_21.ann
瀝靑	洪水, 人民, 巴比耳塔, 建築, 塗, 上古				舊約全書 創世紀	I_01_26_16.ann
辭官	尚書令, 故事, 美事, 君子, 謙虛之心, 虛辭, 欺詐, 入門升階, 定例, 相讓, 小讓, 大讓, 衣服, 拜賜, 車馬, 先謝, 後辭, 門下侍中, 舊制, 遷級, 讓表	高麗	晉, 南州	王述, 坦之, 杜景升	士相見禮	S_07_01_74.ann
刻漏	漏水器, 晝夜, 二十五点, 讖書, 五更, 初更, 二十一点, 漏刻, 自擊漏, 報漏閣, 漏箭, 鍾鼓, 希臘人	宋, 聖德王 十六年, 世宗 十四年	新羅, 本朝, 我朝, 日本, 埃及, 歐羅巴, 羅馬, 英國	黃帝, 挈壺氏, 蔣英蔣英實, 天智天皇	玉海, 周禮	I_01_22_23.ann
成均館	國子監, 修學院, 成均, 大司樂, 成均之法, 國之學政, 學式, 國子學生, 文武官, 子孫, 勳官, 縣公, 太學生, 曾孫, 有封者, 國子祭酒, 司業, 國子博士, 太學博士, 成均祭酒, 國子學, 司成舘, 祭酒, 大司成, 成均監, 太學, 經學英才, 貴遊 子弟, 修學院, 敎育	五帝, 成宗 十一年, 仁宗, 忠宣王 初年 五月, 晋 武帝 咸寧 四年, 隋 煬帝, 唐, 光宅 元年, 光武 十一年	支那, 高麗, 支那, 本朝	金恂	周禮, 麗史 食貨志	I_01_06_04.ann
